negationHandled,sentiment
danantara konspirasi antara pejabat yang masih aktif dan mantan pejabat patut diduga ada nuansa kkn,Negatif
banyak mungkin nyaayakin iklas dari batin yang trdalam kohndak munafiktrkadng kita brfikirabnormalssah mmilih yang setia negaratu banyak yang disumpah malah makan sumpah,Negatif
jngn jadi aing bcakn korupsi bla jarang pngurusnya tidak amnh,Negatif
masukin ahok tidak sih biar aman,Positif
ingat semua yang hidup bakalan mati jgn maling jangan maling apalagi untuk yang sudah tua peluang untuk mati lebih terbuka lebar,Netral
binggung saya ni orang boleh ada audience,Netral
ko boleh penasihatnya finalis koruptor nimor dua dunia,Netral
koh daripada pusing dan banyak polemik kalau memang kamu kesejahteraan rakyat danantara dibagi langsung saja ke rakyat indonesia rb trilyun dibagi an juta rakyat jadi masing dapat m bahkan bayi juga dapat nah uang m an sudah dijamin tuh rakyat sejahtera kita semua simple kan,Negatif
pelaku koruptor masuk dlm danantara apa masih dapat di percaya,Negatif
musuh utama negara indonesia bukan masyarakat dengan latar belakang sukuetnis dan agama yang ada di negara indonesia indonesia memiliki latar belakang masyarakat pribumi etnis arab tionghoa india dulu tetapi musuh rakyat indonesia adalah koruptor pelaku korupsi uang negara aka rakyat indonesia yang membuat negara dan masyarakat indonesia pada umumnya ini belum menjadi negara maju sejahtera tentram ayem sudah saatnya rakyat indonesia kompak melakukan clas action untuk membawa mantan pemimpin negara yang terlihat dan terindikasi kuat melakukan kkn kolusi korupsi nepotisme agar kasus korupsi yang dilakukan penguasa yang pada akhirnya rakyat indonesia yang harus menanggungnya koruptor wajib dihukum seberatberatnya dan dilakukan sita harta hasil korupsinya yang terbukti dan boleh dibuktikan secara hukum jika ada penegak hukum melakukan praktek mafia hukum bersama pengacara si koruptor maka harus mendapatkan hukuman lebih berat dari si koruptor dan disita hartanya juga hasil memeras pelaku korupsi koruptor,Negatif
sebelum luncurkan danantara sahkan dulu kamu perampasan aset korupsi dan hukum mati koruptor maka kami warga negara tidak akan pesimis,Negatif
korupsi diusut tuntas dan di hukum mati tidak sih solusi pertamanya untuk menuju indonesia emas,Positif
pembukuan terbuka taruh di tv tvri n medsos negeri danatara,Netral
saran sih anak sekolah di kasih tau pelajaran biar tau an dan maksud danatara apa agar bibit kepedulian untuk negara ini berkembang dengan baik,Positif
kalau niatnya baik kenapa danantara tidak boleh atau tidak boleh diaudit dari situ saja sudah terindikasi bahwa ada tujuan terselubung terselubung niat buruk,Netral
keren,Positif
orangnya jah,Netral
orangnya itu itu saja,Netral
menyala pak wowo,Netral
sulit jika masih berkolaborsdi dengan yang lama,Negatif
bener bener indonesia emas untuk mereka para pejabat dan kelompoknya,Positif
mampukah danantra untuk tampil sebagai lembaga yang bersih dan bebas dari korupsi itu pr berat dari pemerintah agar danantara boleh melakukan itu kewajiban pemeritah melibatkan orang orang bersih untuk melakukan pengawasan dan pengendalian dari orang orang yang berniat buruk terhadap danantra jika tidak wajar kita kwatir jalannya danantara,Netral
banyak banyak content creator kekgini,Positif
kalau kata buzzer salah pdhl mereka nikmatin hasilnya,Netral
beban peradaban kita terasa berat kawan kalau kita tidak saling bahu membahu siapa lagi yang boleh menolong negeri kita,Positif
maunya sih optimis tetapi ngurus pertamina yang rakyat beli bbm secara cash saja rugi pln juga rugi pdam juga katanya rugi so maaf saya ttp pesimis terlalu banyak maling di tubuh pejabat indonesia,Negatif
pengen banget di ajak ke danantara iya bang,Netral
setelah ada update orang yang korupsi bagaimana kelanjutan danataranya ko stil possible or bagaimana nih,Netral
contoh kekacauan d malaysia skandal mdb mirip program danantara,Negatif
yang masih menjabat di tempat lain menjabat lagi di tempat lain dan menjabat lagi di tempat lain di tempat pertama bermasalah di angkat jadi pejabat di tempat ke ke ke dan seterusnya dan disetiap tempat bermasalah juga disetiap jabatan di tempat yang beda dapat gaji yang dibilang besar tidak sedang dibilang besar juga tidak sangat besar apakah ini dinamakan keserakahan individu kemaruk jika danantara di suatu titik orang yang bermasalah itu membuat masalah di danantara maka indonesia akan menjadi indonesia tenggelam indonesia gelap pekat nkri yang dulu harga mati menajadi mati beneran akan lebih berat jika terjadi penyelewangan karena individu tak memaafkan akan begitu berat langkah kaki di akherat semoga sukses mensejahterakan rakyat indonesia dalam waktu yang baru dengan hati bersih kejujuran semoga dapat mencapai indonesia emas,Positif
mudahan mudahan cita cita pak prabowo kesampaian memajukan kehidupan ekonomi lemah,Positif
perpu perampasan asetpresiden berani,Negatif
danantara dana untuk di korupsi bersama,Netral
perpu perampasan asetpresiden berani,Negatif
saya sangsi sama mulyono dn anteknya apa lagi s et ikutan,Negatif
probowo aka the omonngakak,Netral
sayangnya saya kurang percaya sama pengelola danantara,Positif
bagaimana profesional kalau banyak orang partai timses dan keponakan ring pemerintahan di dalamnya,Positif
lebih baik fokus ke koruptor saja dulu karena kalau masih banyak di semua kalangan jadi kurang efektif juga,Positif
ngapa harus ada jokowi lagi,Netral
danatara hanya menutupi korupsi pertamina keren korupsi pertamina berjamaah cuma akal akalan,Negatif
tetap harus dengar suara hati bangsa indonesia tetapi melepas nasehat dr negara asingindonesia,Positif
saya yakin chindo muslim tidak diragukan nasionalisme nkri harga mati salah satunya reimond chin,Negatif
saya lebih percaya kamu bang buat megang dan mengawasi dengan kritis danatara,Negatif
dari video ini saya hanya melihat tahun lalu pemimpinannya memang sangat amburadul,Negatif
informasi yang menarik sekaligus mengerikan,Negatif
tetapi yang mengisi koncoisme semua itu si pandu orangnya opung bagaimana boleh dipercaya,Positif
kalau untuk kesejahteraan rakyat untuk petani bis mendapatkan kebutuhan produksi yang terjangkau,Positif
pdb dan perkapita besar di wakili oleh pejabat korup,Netral
wowo wiwi periode jajaran pejabat danantara orang² bermasalah,Negatif
semoga semua doa dan harapan optimis koh raymond diijabah allah aamiin,Positif
ingat kata habib rizik parti besar sudah tersandra presiden tesandra dan sudah di lemahkan oleh elite besar dan sekarang elite besar sudah bergerak berbentuk danantara dan siap untuk mencaplok indonesia pemerintahan prabowo harus di bersihkan habis prabowo tersandra dan bermasalah,Negatif
keren,Positif
harusnya sih memang harus ada pihak ke buat check balance di luar politisi dan harusnya selalu buat laporan kerja keuangan dan lainnya untuk di beritakan ke publik kalau mau transparan iya,Negatif
ayikiyu generasi bukan kurang gizi tetapi akibat selotak generasi tak berkembang cerdas di akibatkan narkoba dn pengaruh negatif online bukti kuwalitas keamanan depensip pemerintah tak berguna gagal melindungi rakyat atau sumpahnya palsu atau kuwalitas demokrasi selama ini munafik dlm mengisih kemerdekaan,Negatif
danantara bila berbalik menjadi senjata menghiyanati kami rakyat lihat sj rakyat ke kepulawan akan merdeka serempak melepaskan ikatan bineka kesepakatan proklamasinya jadi negara sendiri dr penguwasa kepulawan jawa walau harus perang sesama persiyapan iktiar seluruh matra pasukan kepulawan rakyat harus senyap gerilya mulai dr sekarang,Negatif
danantara itu jika di jadikan senjata untuk garuda tekof miraz mendptkan rezeki cuwan untuk kemahaslatan maka syaratnya harus suci bersih tanpa dosa kebutuhan demokrasi pemberat menggorotinya maksutnya cukup presiden pilot legislatifnya dn pe garuda superholding danantaranya terbang tekof miraz isih demokrasi sila ke cukup di daratan menerima hasil cuan inkamnya intelezen pasukan bin kpk inpektorat presiden harus awasi lindungi segala kegiatan ivestasi modalnya,Positif
background musicnya annoying bang,Negatif
seharusnya boleh memasukkan pihak ke yang kompeten bkn hanya dr jajaran pemerintah good idea,Negatif
sita dulu saja aset yang dikorupsi kyknya sudah boleh bikin modal buat putar uang dengan beli aset untuk backup negara,Negatif
ngeri sedap itu barang,Negatif
yang membuat saya skeptis ttg danantara ini adalah potensi korupsi yang mungkin terjadi korupsi spt sudah dianggap lumrah dlm pemerintahan kita,Negatif
ingat soros waktu memporak pandakan ekonomi nkri nilai rupiah jatuh kejurangtak berharga danantara muncul untuk mem backup nya melindungi aset infestasi dllhebat maju terus lundungi semua aset nkri,Positif
melihat danantara jadi ingat kisah dari malaysia tetangga sebelah tentang kasus mdb itu kan gokil kyknya ini part deh,Negatif
gagal dan nggarong,Negatif
kamu sudah mewakili pertanyaan dan permintaan di otak saya ketika danantara launching terimaksih mas,Netral
bila mantan peresiden orang ini diberi ngelola ke uangan seperti ini yang bukan ahli nya tunggu kehancuran nya masih banyak anak bangsa yang ahli dibidang itu,Negatif
yuk dukung indonesia buat maju kalau bukan kita siapa lagi jangan mau di adu domba asing yuk boleh yuk,Negatif
indonesia nkri semoga megawati keluar danantara subhanalloh walhamdulillah walaailaaha illalloohu walloohu akbar laahaula walaaquwwata illa billaahilaliyyiladhiim semoga alloh subhanahu wataala memberi kekuatan keselamatan kesabaran kesehatan kepada masyarakat indonesia aamiin aamiin aamiin allohumma aamiin,Positif
selama tidak ada niat serius para elite politik untuk duduk bersama berantas korupsi dengan serius pemilihan orgx hebat untuk mimpin danantara sekelas ray dalio lokal anggap saja visi misi besar danantara akan berakhir berawal t jadi m,Positif
sebenarnya yang paling penting itu kurangin gaji pejabatfokus perbaiki sistem pendidikankannyasejahterahkan masyarakat dengan fasilitas yang baikbukannya sibuk buat proyek yang memakan dana yang besar untuk kepentingan penguasa,Positif
doa dan harapannya ko ray setuju aamiin,Positif
raymond chin timoty ikut dilibatkan indonesia emas dengan hormat pak rosan rangkul anak muda yang punya potensi seperti ini akan membuat indonesia maju karena mereka tidak buta di bidang investasi yang ini boleh menjadi influence untuk anak muda berinvestasi semakin banyak warga indonesia berinvestasi maka kita tidak perlu bergantung dengan hutang dari negara lain yang mencengkeram bangun tol tidak perlu ngutang hasil keuntungan boleh di rasakan para investor rakyat indonesia bangun lrt bangun perusahaan seperti krakatau steel tetapi tentunya perlu dijalankan secara profesional biar gada lagi tuh hastag kaburajadulu,Positif
ttp ja koruptor berjamaah danantara hat hati dikorup,Negatif
semua bumn rugi dan korupsinya gilaan walau gaji mrk sudah besarnya di luar nalar masih percaya,Negatif
iya allah semoga jangan sampai seperti efishery keliatannya untung ternyata buntung jaga hati para pimpinan danatara agar amanah dan boleh membuat indonesia emas,Netral
corong,Netral
korupsi gaya baru akan terjadi dan berlindung di kata kata untuk kesejahteraan rakyat,Negatif
konoha nih bos bersumpah atas nama tuhan melanggar aturan alias korupsi dahlah sampai mati nga bakalan percayakecuali hukuman mati di terapkan di negara ini bagi koruptor,Negatif
kami selaku masyarakat sangat percaya dengan adanya danantara program pak prabowo ini karena untuk kemajuan ekonomi rakyat dan negaramudahan sukses apalagi pengurusnya orang bagus bangsa inidemi kemajuan negara dan rakyat indonesia semoga semua selalu di berikan kesehatanamiin,Positif
selm mulyono msh ikut cmpur indonesia saya jimin psti tidak bkln mju,Netral
dk puas y mreka mngincer dana rakyat sudah banyak bukti bumn ngra ini korupsi dn lagi di buat program mslh uang,Positif
bagaikan pedang bermata dua,Negatif
selama ru perampasan aset belum disahkan budaya korupsi indonesia tidak akan hilang menurutku program danantara itu sebenarnya bagus tetapi hanya akan sumber cuan bagi koruptor oleh sebap itu kuncinya sekarang hanya ru perampasan aset apa pun program nya bagus tetapi kembali lagi harus ada ru perampasan aset biar boleh targetnya tercapai,Negatif
rakyat sudah pesimis dan apatis dengan pemerintah sayang sekali,Netral
tidak akan gagal karena mreka akan bikin kalimat baru untuk redefine musibah mreka ketika rezim ganti nantinya,Negatif
danantara harus ada aturan khusus yang korupsi langsung eksekusi mati dan perampasan aset,Negatif
bahaya ada erik tohir di sana mengelola bumn saja tidak becus,Netral
harus di viralkan agar semua para pemuda boleh mengawalnya,Netral
rawan korupsi,Negatif
kacau balaukalau sampai ada kumpulan dana negara yang tidak boleh di auditkalau masalah tranparansi itu hanya omon omon kalau undang undang nya melarang untuk diaudit,Negatif
amanahlah yang sudah diberikan tanggung jawab ingat nanti dimintai tanggungannya selesai atau ya sekedar jawaban di dunia maupun di akhirat,Positif
triliun itu bukan dana liquid om seperti yang pak prabowo katakan triliun itu total aset dari semua perusahaan yang ada di danantara,Netral
jadi buzzernya danantara,Netral
kedukuren lambene hahaha,Netral
saya sumpahin gagal tuh danantara,Negatif
yakin modal danantara itu fresh money,Positif
tunggu dulu bangitu dana yang terkumpul rb triliun lebih dari aset bumn boleh ditarik dalambentuk duit tidak kalau boleh kenapa pemerintah tidak bayar hutang triliun dari aset bumn saja sisanya baru investasi kalopun gagal yang penting tidak punya hutang kan maklum saya awam jadi setelah dengar dana yang terkumpul sampai rb triliun lebih saya kepikiran kesitu loh,Negatif
hai ka untuk rb t itu bersifat sertifikat perusahaan bumn tidak bersifat uang cair karena menghindari hukum investasi internasional dan bentuknya tidak terbatas boleh saham kas capital market dulu dan jika danantara berhasil maka hasil investasi akan masuk ke negara dalam bentuk surat uang yang dimana ini akan dimasukkan ke bumn untuk disimpan dananya bagi indonesia dan akan diuangkan saat negara kita butuh kalau dana bumn dipakai untuk utang negara mohon maaf indonesia akan bangkrut setengahnya karena setengah dari total aset jika diuangkan untuk membayar hutang negara maka akan menyalahi aturan pembayaran kpd imf dan negara lain yang memberi utang ke negara ini oleh karena itu negara setiap tahunnya membayar rutin utang secara perlahan agar arus kas negara stabil dan negara tidak bangkrut serta rupiah tidak anjlok bebas adapun negara tidak memiliki hutang adalah hal yang mustahil karena hampir smua negara di dunia memiliki hutang baik bersifat hutang ke imf hutang ke negara lain bahkan hutang ke warga negaranya sendiri ohiya hutang indonesia yang sekian ribu triliun itu hampir adalah hutang ke warganegara nya sndiri kalau negara membayar lunas total maka sbn ritel berhenti sesuai hukum investasi di indonesia dan keinginan warganegara untuk menaruh duit ke indonesia berkurang drastis terima kasih,Positif
